NAME,LINK,DOCKET,TYPE,LOCATION,OWNER,REGION
Summer,/info-finder/reactors/sum.html,05000395,PWR,"26 miles NW of Columbia,  SC",South Carolina Electric & Gas Co.,2
Surry 1,/info-finder/reactors/sur1.html,05000280,PWR,"17 miles NW of Newport News,  VA",Dominion Generation,2
Surry 2,/info-finder/reactors/sur2.html,05000281,PWR,"17 miles NW of Newport News,  VA",Dominion Generation,2
Susquehanna 1,/info-finder/reactors/susq1.html,05000387,BWR,"70 miles NE of Harrisburg,  PA","Susquehanna Nuclear,  LLC",1
Susquehanna 2,/info-finder/reactors/susq2.html,05000388,BWR,"70 miles NE of Harrisburg,  PA","Susquehanna Nuclear,  LLC",1
Three Mile Island 1,/info-finder/reactors/tmi1.html,05000289,PWR,"10 miles SE of Harrisburg,  PA","Exelon Generation Co., LLC",1
Turkey Point 3,/info-finder/reactors/tp3.html,05000250,PWR,"20 miles S of Miami,  FL",Florida Power & Light Co.,2
Turkey Point 4,/info-finder/reactors/tp4.html,05000251,PWR,"20 miles S of Miami,  FL",Florida Power & Light Co.,2
Vogtle 1,/info-finder/reactors/vog1.html,05000424,PWR,"26 miles SE of Augusta,  GA",Southern Nuclear Operating Co.,2
Vogtle 2,/info-finder/reactors/vog2.html,05000425,PWR,"26 miles SE of Augusta,  GA",Southern Nuclear Operating Co.,2
Waterford 3,/info-finder/reactors/wat3.html,05000382,PWR,"25 miles W of New Orleans,  LA","Entergy Nuclear Operations, Inc.",4
Watts Bar 1,/info-finder/reactors/wb1.html,05000390,PWR,"60 miles SW of Knoxville,  TN",Tennessee Valley Authority,2
Watts Bar 2,/info-finder/reactors/wb2.html,05000391,PWR,"60 miles SW of Knoxville,  TN",Tennessee Valley Authority,2
Wolf Creek 1,/info-finder/reactors/wc.html,05000482,PWR,"3.5 miles NE of Burlington,  KS",Wolf Creek Nuclear Operating Corp.,4
